date,favorite_count,followers_count,friends_count,full_text,retweet_count,retweeted,screen_name,tweet_id,user_id
7/18/2019 22:47,0,82,219,@Mahi_2510 @swiggy_in The ultimate answer will b sorry ... They assure that ...,0,FALSE,syamantak1,1,"61,959,419"
7/18/2019 22:43,0,102,129,@SwiggyCares I hope so.,0,FALSE,Bharatbbhushn,2,"143,284,383"
7/18/2019 22:37,0,102,129,"@SwiggyCares I think you have the order details, was the number present there? If yea you can call right now.",0,FALSE,Bharatbbhushn,3,"143,284,383"
7/18/2019 22:35,0,13,16,"@swiggy_in People are complaining here also, i know You are little disappointed by service, but for that you have customer service center or you can make direct messages, It is not necessary that every time everything is perfect, sometimes mistakes happen",0,FALSE,taifkhalid01,4,"830,340,000,000,000,000"
7/18/2019 22:25,0,102,129,"@SwiggyCares Do you even know the meaning of your tagline, DM's won't work. I want explanation here.",0,FALSE,Bharatbbhushn,5,"143,284,383"
7/18/2019 22:24,1,21,203,"Nothing new, they had the most shittiest associates. You can expect these things from them on regular basis. @swiggy_in Lets see how it goes. https://t.co/sNfaPJkzuU",0,FALSE,Mahi_2510,6,"987,018,000,000,000,000"
7/18/2019 22:22,0,0,2,"@swiggy_in 
 @SwiggyCares 
 I am the owner of the restaurant named DAANA PAANI(162952)
 Area manager- Abdul
 I am facing many difficulties and your staff is THE MOST incapable staff including AREA MANAGER
 I would like to terminate the partnership because of y",0,FALSE,PaaniDaana,7,"1,151,970,000,000,000,000"
7/18/2019 22:22,0,3,189,@SwiggyCares Inbox check kare huzoor,0,FALSE,shadowfytertoo,8,"2,874,557,034"
7/18/2019 22:19,0,102,129,@SwiggyCares Pls go through the details and solve this asap! Delivery boys number is switched off! Pls share explanation here. Let the world know what swiggy cares about :),0,FALSE,Bharatbbhushn,9,"143,284,383"
7/18/2019 22:17,0,102,129,I hope you hire educated professionals @swiggy_in pls read pur chat thread and put an end to this asap. https://t.co/TJtEJC91SB,1,FALSE,Bharatbbhushn,10,"143,284,383"
7/18/2019 22:10,1,102,129,"Well this order is not delivered, delivery person's number switched off! World class service by @swiggy_in they really care :( https://t.co/ivnx2TiAd4",0,FALSE,Bharatbbhushn,11,"143,284,383"
7/18/2019 22:05,0,2,5,"Their associate showing off his canned/templates.. @SwiggyCares if sumone is ordering food at 3 o clock, you need to understand the trust we have on you guys.. You guys will get the details by this number 9990361119",0,FALSE,prashantatolia,12,"248,744,582"
7/18/2019 22:05,0,2,5,"@SwiggyCares @swiggy_in .. I don't know why swiggy is getting worst day by day. There was a time when Swiggy was known to their services.. last order was delivered after 2 hours and now my food packagimg was spoiled, aslo shared the same with theier chat",0,FALSE,prashantatolia,13,"248,744,582"
7/18/2019 22:02,0,583,55,4th time in a row @swiggy_in Delivered me something I didnt order. And now i get. Reply from customer service desk that they cant help me as system is not allowing them to do anything. Incredible ! Distasteful service. Extremely dissatisfied.,0,FALSE,thedevilworeme,14,"4,905,810,600"
7/18/2019 21:41,0,145,1556,@swiggy_in @SwiggyCares @Zomato along with foreign funds are trying to distribute it ?? https://t.co/XunemgqfhY,0,FALSE,i_M_wat_i_am,15,"142,041,827"
7/18/2019 21:40,0,1,11,@SwiggyCares Wow swiggy is making a jok of their customers... https://t.co/9Vrlw2KUjF,0,FALSE,Rahul07830053,16,"1,100,700,000,000,000,000"
7/18/2019 21:24,0,38,49,@ShridharBhande @SwiggyCares @swiggy_in Delivery boy ne maara kya ?,0,FALSE,The_Supremedeen,17,"1,064,870,000,000,000,000"
7/18/2019 21:20,0,7,124,@SwiggyCares Ordered again today. Please call me asap. More problems,0,FALSE,AnwayPatankar,18,"1,071,240,000,000,000,000"
